timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1509429950554677,-2,1,0,-2,-3,-2,-1,-1
1509429950554677,-1,0,2,-1,0,-1,-1,-3
1509429950557660,1,-2,-2,-2,-1,-2,0,-2
1509429950557660,-2,0,-1,-1,0,-2,-2,-2
1509429950568667,-2,-1,-1,-2,-1,0,-2,-1
1509429950568667,0,-1,0,0,-1,0,-1,-1
1509429950575673,-2,-1,-1,-2,-1,-1,-1,-1
1509429950575673,-2,0,-3,-1,-1,1,-1,1
1509429950592695,0,-1,-3,-2,-1,-2,-1,3
1509429950592695,-1,-1,0,-2,-3,-2,-1,0
1509429950593685,-2,-2,-1,0,0,-2,0,-1
1509429950593685,0,0,-3,-2,-3,-1,0,0
1509429950614700,-2,0,-1,-2,-2,-2,-1,-3
1509429950614700,-2,-1,1,-1,-2,-1,-2,-2
1509429950615704,-1,-3,-2,1,-1,0,0,-1
1509429950615704,0,-3,-1,-1,0,-1,-2,-3
1509429950628710,-3,-2,-3,-1,0,1,-1,-3
1509429950628710,-1,-1,-2,-1,-1,-1,-1,-2
1509429950635714,-1,-3,-1,-1,-3,0,-1,-3
1509429950635714,0,-1,-2,-2,0,-1,-1,-4
1509429950651725,-1,1,-1,1,-1,-1,-1,-4
1509429950651725,0,-2,-1,-1,-1,0,-2,-3
1509429950654729,0,-1,-1,-1,-1,-1,-2,0
1509429950654729,1,-1,0,-3,-2,0,0,0
1509429950674742,1,1,5,-1,-1,-2,-2,-1
1509429950674742,-1,-1,0,-2,-1,-3,-2,-2
1509429950676743,0,-1,-2,-3,-2,0,-2,-3
1509429950676743,-1,0,-1,-2,-2,-1,-1,-1
1509429950688753,2,1,-5,-2,-1,-1,0,-2
1509429950688753,-2,-1,1,-1,-2,-2,-1,1
1509429950696757,-1,-3,0,1,0,-1,-1,1
1509429950696757,-2,-1,-3,-1,0,0,1,-1
1509429950711778,-1,-2,-3,-2,-1,-1,0,0
1509429950711778,-2,-1,0,-1,-1,-1,-2,0
1509429950713770,0,-1,0,-3,-1,-1,0,0
1509429950713770,-1,-2,-2,-1,-1,-1,-1,-1
1509429950734824,-2,-1,-1,-1,0,-2,0,-3
1509429950734824,-1,-2,1,0,1,-2,1,-2
1509429950735838,-3,0,0,0,0,-2,-3,0
1509429950735838,0,-1,-3,-2,-2,0,-1,1
1509429950747808,0,-2,-2,-2,-2,1,-1,1
1509429950747808,0,-1,-2,0,-2,-1,-1,-2
1509429950756800,-2,-2,-1,-1,-2,-1,0,-1
1509429950756800,-1,-2,-1,-1,0,-1,1,-1
