timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1509429819338341,-1,-6,-4,-3,-2,-2,-3,-2
1509429819338341,2,4,-1,-2,-1,-1,-2,-1
1509429819339340,0,-3,-2,0,-1,0,0,0
1509429819339340,0,-6,0,0,-1,-2,-1,-1
1509429819344344,0,1,-3,-2,-2,0,1,-1
1509429819344344,-1,-2,1,1,1,1,1,-1
1509429819368360,-1,-4,-4,-2,-2,-2,-2,-4
1509429819368360,3,15,1,1,-3,1,0,1
1509429819369360,-3,-3,1,-1,-2,-2,-3,-2
1509429819369360,-2,5,-1,-2,-1,0,-1,-1
1509429819371362,-2,-2,-1,-2,-2,-3,-1,-4
1509429819371362,3,4,0,2,0,1,0,-1
1509429819390375,0,-1,-2,-2,-2,-1,1,1
1509429819390375,1,-8,-1,-2,-2,0,-3,-1
1509429819392377,0,0,0,-1,-2,-1,-3,-1
1509429819392377,-3,2,0,-1,-3,-1,-1,-2
1509429819404388,1,-1,-3,-1,0,-1,1,-2
1509429819404388,-1,1,1,-1,-1,-3,-1,-2
1509429819413392,0,5,0,-1,-1,0,0,1
1509429819413392,2,-16,-8,-2,-1,-1,-3,-4
1509429819428402,-5,4,0,0,-3,0,-1,1
1509429819428402,-3,-25,-8,0,1,-1,-1,0
1509429819429403,1,12,5,3,1,1,0,-2
1509429819429403,-10,8,5,-1,-1,-1,0,0
1509429819450418,3,0,-1,0,-1,-2,-3,-2
1509429819450418,0,-12,-5,1,0,-3,-1,-1
1509429819452419,0,-9,-3,-2,-2,-1,-2,0
1509429819452419,1,4,-1,0,0,0,0,-2
1509429819464428,-1,3,2,0,-1,1,1,0
1509429819464428,-4,15,8,2,-1,1,0,-1
1509429819480442,0,-5,-3,0,0,-2,-2,-2
1509429819480442,1,10,0,-2,-1,0,-2,1
1509429819488445,0,15,3,0,0,-1,-1,0
1509429819488445,-1,6,2,-1,-3,-1,-2,-1
1509429819489446,-5,-1,-1,-1,-1,-1,-1,-2
1509429819489446,0,-6,-5,-2,-1,0,0,-1
1509429819510460,2,-8,-4,-1,0,-1,-1,0
1509429819510460,0,6,3,-1,-1,-1,-1,1
1509429819512462,0,1,-1,-2,-1,0,-1,1
1509429819512462,-1,4,0,-2,-2,-1,2,-1
1509429819524470,-2,-3,-1,-3,-1,-2,0,-1
1509429819524470,-4,-32,-7,-1,0,-2,-1,-2
1509429819533477,-1,-4,-3,-1,-1,-1,-1,-1
1509429819533477,3,-1,-5,-2,-2,-2,-1,-2
1509429819547495,-3,-4,3,2,-2,-2,-2,-2
1509429819547495,0,-4,-2,1,1,0,0,0
1509429819555492,-1,0,-3,-1,-2,1,-1,-1
1509429819555492,8,10,-1,-4,-3,-2,-3,0
1509429819570503,-8,1,-1,-3,0,1,-1,-2
1509429819570503,3,11,4,-1,-4,-1,0,-3
1509429819572504,-1,5,1,0,-2,-3,1,2
1509429819572504,-2,-10,-5,-3,-3,-2,-1,-1
1509429819584514,2,-5,-3,-2,-3,-2,-1,0
1509429819584514,1,3,0,-2,-2,-2,-2,0
1509429819593525,-4,3,0,-1,0,1,-2,-1
1509429819593525,-2,-5,-2,-1,0,-2,-2,-3
1509429819607529,0,1,-1,-2,-1,-2,-2,-2
1509429819607529,-1,4,-1,0,0,-1,0,-1
1509429819615535,0,-10,-4,0,0,-1,0,-1
