timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1517203381088559,-1,0,-1,0,-1,-2,1,-1
1517203381088559,1,-1,-2,0,0,-1,-1,0
1517203381090053,0,1,-5,-2,-3,-1,-1,-3
1517203381090053,-1,-1,1,0,-1,0,-2,0
1517203381103564,-1,0,-1,-2,-1,-2,-1,-1
1517203381103564,-2,-1,-2,-1,1,0,-1,-1
1517203381109568,-1,-3,0,-1,-2,-2,0,0
1517203381109568,-2,-2,-3,-6,-3,-1,0,-1
1517203381126580,-3,-2,-2,3,-1,-2,-2,0
1517203381126580,-2,-1,0,0,1,-2,-2,0
1517203381127581,-1,-1,-1,-2,-1,-2,-1,-1
1517203381127581,-2,-2,-2,1,-1,-3,0,-1
1517203381148596,0,-1,-2,-3,-1,1,-1,-1
1517203381148596,-1,0,-1,-1,-2,-1,-1,-2
1517203381150096,0,-2,-2,-1,-1,-1,-3,-1
1517203381150096,0,0,-2,-2,0,-1,-1,0
1517203381171111,-1,0,-1,-2,0,0,0,-1
1517203381171111,0,0,0,3,0,1,0,-2
1517203381172612,0,-1,-2,-4,0,0,-1,1
1517203381172612,-1,-1,-1,1,-3,-1,-2,0
1517203381186121,0,1,-1,-3,-1,0,-2,-1
1517203381186121,-1,-1,-1,-3,-2,-2,-1,1
1517203381188622,-1,-1,0,-2,0,-2,1,-1
1517203381188622,-1,-4,-1,0,0,-1,0,-2
1517203381208643,-2,0,-2,0,-1,-1,-1,0
1517203381208643,0,0,-1,-1,-1,0,-2,-1
1517203381210139,0,-1,-2,-6,-3,0,-3,-2
1517203381210139,-1,-2,-1,1,0,-1,0,0
1517203381222646,-1,-3,-1,-3,-1,-1,-2,0
1517203381222646,-2,0,-1,-1,1,0,0,-2
1517203381229651,1,-2,-1,0,0,-1,1,1
1517203381229651,-2,-1,0,-1,-3,-1,-2,-1
1517203381246164,-1,-3,1,0,-2,0,-2,-2
1517203381246164,-1,-1,-1,-2,0,-2,-2,-2
1517203381247667,-1,0,0,0,0,-1,0,-2
1517203381247667,1,-1,-2,-1,-3,0,-1,-2
1517203381268679,-1,-1,-1,0,-1,-3,0,0
1517203381268679,-1,-3,0,0,-1,1,0,0
1517203381270180,-1,0,-1,-1,-1,-1,-1,-3
