timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1514955120825791,-1,-2,-1,-1,-4,-2,0,-3
1514955120825791,-1,2,0,0,0,0,-2,-1
1514955120826794,-1,-2,-1,0,-1,-3,-2,1
1514955120826794,-1,0,-1,0,-1,-1,-3,0
1514955120840804,0,0,-2,-1,0,-2,-1,-2
1514955120840804,-1,-1,-2,1,-1,0,3,-3
1514955120840804,-1,0,-1,-1,0,0,0,-1
1514955120840804,1,-2,-1,-2,-1,-2,-3,0
1514955120862818,1,-2,-1,0,-1,1,-1,0
1514955120862818,-2,-1,0,0,-1,0,-2,-1
1514955120863820,-3,-1,-1,-1,-2,-1,-1,0
1514955120863820,-3,-2,0,-1,-1,-1,-1,-2
1514955120886834,0,-1,-2,-3,0,-1,-2,0
1514955120886834,0,-1,0,0,1,-2,0,-2
1514955120888836,-3,-1,-1,0,0,-1,-2,-1
1514955120888836,0,-2,-1,-1,-2,-1,-1,-2
1514955120900847,-1,-2,-2,-2,-1,0,1,-1
1514955120900847,-1,-2,0,-1,-1,-2,0,-2
1514955120901852,2,-1,-2,0,-2,-2,-3,2
1514955120901852,-2,-2,0,0,0,-2,-1,0
1514955120922860,0,-1,-2,-1,-1,-1,0,-3
1514955120922860,-1,-2,-1,-1,-1,-2,-2,-1
1514955120923861,-2,-1,-2,0,-1,0,-1,-3
1514955120923861,-2,-1,-2,-2,-1,-1,-2,-1
1514955120945876,-1,0,2,0,1,-2,-2,-4
1514955120945876,-1,0,-1,-1,-1,-1,-1,0
1514955120947879,0,-3,0,-3,0,0,1,-1
1514955120947879,2,0,-2,0,-2,0,3,-1
1514955120960886,-1,-2,-2,-2,-1,-1,-2,-4
1514955120960886,-4,-1,-2,-2,-2,-1,1,-4
1514955120961889,-2,-1,-2,0,-1,-1,-1,-2
1514955120961889,-1,0,-2,-1,-1,1,-3,-1
1514955120982904,-1,-2,-1,-1,-4,-1,0,-2
1514955120982904,-2,0,1,-1,-1,0,1,-2
1514955120983904,-1,1,0,0,-2,-1,-1,0
1514955120983904,0,0,-1,-1,-2,0,-1,-2
1514955121005918,-1,-1,-1,0,-1,-1,-1,2
1514955121005918,-2,-1,-3,-3,-1,-1,-1,-3
1514955121006919,-1,-2,-2,-2,-2,-2,-3,-1
1514955121006919,-1,-1,0,-1,-2,-2,1,0
1514955121020929,-3,-1,-2,0,-2,-2,-2,-3
1514955121020929,-1,-3,1,-2,0,-2,-1,-1
1514955121020929,0,-1,-1,-1,-1,-1,-2,-1
1514955121020929,-1,-2,-2,-2,0,-1,-3,0
1514955121043945,0,-1,-4,-1,-1,-2,-1,0
1514955121043945,0,-1,-1,-2,-2,-2,-1,0
1514955121051951,-1,0,-1,-2,-2,-2,-1,2
1514955121051951,0,0,0,-1,-1,1,0,-1
1514955121065960,-2,-1,-2,0,0,0,-1,0
1514955121065960,-1,0,-3,0,-3,0,-2,-1
1514955121066962,0,-1,0,0,-1,-1,1,-2
1514955121066962,-2,1,-2,-1,-2,-1,-2,-3
1514955121081972,-2,-2,1,0,-1,-2,-2,3
1514955121081972,0,0,-1,-2,-2,-2,-1,0
1514955121082973,-3,-2,-2,0,-3,-1,-3,1
1514955121082973,0,-2,-1,-1,-1,-1,-1,-2
1514955121103033,0,-2,-1,-1,1,-1,-1,-1
1514955121103033,-3,-1,-1,-2,-2,0,0,0
1514955121104024,0,-1,-2,-3,-1,-1,1,-3
1514955121104024,1,-2,-1,0,-1,-1,-1,0
1514955121128039,-1,0,-1,-2,-1,0,0,-1
1514955121128039,2,-2,-1,1,2,1,-1,-2
1514955121129040,1,-1,-2,-2,-1,0,-2,-1
1514955121129040,-1,-1,0,-1,-2,-1,-2,-1
1514955121140050,0,-1,0,-2,-2,-2,-2,1
1514955121140050,-3,0,1,-1,-2,0,0,0
1514955121141049,-1,-1,-1,-2,-1,0,-1,-1
1514955121141049,-2,-1,-1,-1,-1,-2,-2,-1
1514955121163076,0,-1,-2,0,-2,-1,0,0
1514955121163076,1,-1,-2,0,-1,-2,-3,-4
1514955121164066,-2,0,-1,0,-1,-2,-2,0
1514955121164066,-3,-1,-2,-1,-1,0,0,1
1514955121186095,-1,-1,-1,0,1,0,1,1
1514955121186095,-1,-1,-1,0,-2,-2,-1,-2
1514955121187081,-1,-2,0,-1,0,-1,1,-4
1514955121187081,-1,-2,-1,-1,-1,-2,0,2
1514955121200102,-3,0,-1,-3,-1,0,-3,-3
1514955121200102,-1,-2,-2,-2,-2,0,0,-1
1514955121201092,-1,-1,-1,0,-1,-1,-2,0
1514955121201092,2,-2,1,-1,0,-3,-1,1
1514955121223125,0,1,-2,-1,0,0,1,-2
1514955121223125,0,-1,-1,-1,-1,-1,-1,1
1514955121224111,-2,-1,-2,0,-1,-1,0,-1
1514955121224111,0,-1,-1,-3,-1,0,-1,-1
1514955121246138,0,-3,-1,-1,-1,-3,-1,-1
1514955121246138,-4,-2,-2,-2,-1,-1,0,-3
1514955121247124,-1,-1,-3,-1,-3,0,1,-1
1514955121247124,0,0,-1,0,1,-2,-3,-1
1514955121261133,-2,-1,-1,-1,-3,-1,-1,-2
1514955121261133,-1,-1,-2,-2,0,-1,1,-1
1514955121263135,-3,0,0,-1,-1,-1,-2,-1
1514955121263135,-1,1,-1,0,-1,1,-1,-2
1514955121283161,-2,-2,-1,-2,1,0,-1,2
1514955121283161,-1,-3,0,-2,-2,-1,-1,-1
1514955121284164,0,-2,1,-2,2,-3,0,0
1514955121284164,-2,-1,0,-1,-1,-2,-1,0
1514955121306166,0,-1,1,-1,0,-1,-1,0
1514955121306166,0,0,-1,1,-2,0,-1,-1
1514955121307168,1,-1,0,-1,-1,-1,0,-2
1514955121307168,-2,-3,-3,-1,0,-2,0,0
1514955121329181,1,-1,-1,-2,-2,-2,-1,0
1514955121329181,0,-2,-1,1,0,-3,-2,-3
1514955121331186,-2,0,-1,0,-1,-1,-1,-2
1514955121331186,-2,-1,-2,-1,-2,-1,-1,0
1514955121343231,-1,0,-2,-1,0,-1,0,0
1514955121343231,-2,-1,-2,0,1,1,0,1
1514955121358214,-1,-2,-1,0,-1,0,-1,-1
1514955121358214,1,1,-1,-1,-2,-2,-1,-2
1514955121366224,-2,-2,-2,0,-2,-2,-3,-2
1514955121366224,-1,0,0,-1,-1,0,0,0
1514955121367209,0,-2,0,-2,0,0,0,-3
1514955121367209,-1,-3,-1,-1,-3,-1,-1,-2
1514955121380217,0,0,-1,-2,-2,-1,-2,-3
1514955121380217,-3,-1,-1,0,-2,-2,0,-3
1514955121388262,-2,-1,-1,-1,0,-1,-2,-2
1514955121388262,-4,-2,-1,0,-1,0,2,-2
1514955121403246,1,-1,-1,0,0,-2,-1,-2
1514955121403246,1,0,0,-1,-2,-3,-1,-2
1514955121404247,0,-2,-2,-1,-3,0,-1,-1
1514955121404247,1,-1,-2,-2,0,0,-1,-3
1514955121426260,-3,-3,-1,0,0,0,-2,0
1514955121426260,-1,-1,-1,0,-2,0,0,0
1514955121428266,1,-1,0,-1,-2,-2,-1,-2
1514955121428266,2,-1,-2,0,-1,-2,-2,-2
1514955121440261,-2,0,-2,0,-3,0,-2,0
1514955121440261,-2,-1,-1,-1,-1,1,1,-2
1514955121448271,-2,0,-1,0,-3,-2,-1,-1
1514955121448271,-3,-1,-3,-1,-1,-1,-2,1
1514955121463276,0,-1,-1,-1,-1,0,-3,-4
1514955121463276,-1,-2,-1,-1,-1,-1,-3,-2
1514955121464276,1,-1,-3,-1,-1,1,0,-3
1514955121464276,-2,-1,0,0,-1,-2,-1,0
1514955121486293,-3,1,-1,-1,2,-1,-1,2
1514955121486293,-3,-1,0,-2,-2,-2,-1,1
1514955121487313,-3,1,0,0,0,-2,0,-1
1514955121487313,0,0,-2,0,-2,-1,1,-1
1514955121500314,-1,-3,-2,-1,-2,-1,0,-2
1514955121500314,-3,-3,-1,0,-1,-1,1,1
1514955121508308,-2,-4,-2,-1,0,-2,-4,-2
1514955121508308,-3,-2,-1,-2,2,-1,-3,-1
1514955121524320,1,-1,-1,2,0,-2,-2,-1
1514955121524320,0,0,-1,-2,0,1,-1,1
1514955121526337,-2,0,1,-1,-1,0,-1,-3
1514955121526337,1,0,0,-1,-2,-1,-1,-1
1514955121546336,-2,-2,-2,0,0,-2,-1,-1
1514955121546336,1,0,-1,-2,-1,-2,0,-1
1514955121548339,-2,-1,-2,0,0,-1,1,2
1514955121548339,-1,0,-1,-2,-1,-1,-1,-2
1514955121560348,1,-1,1,-1,1,0,0,2
1514955121560348,0,0,0,-1,0,0,-3,-4
1514955121567353,0,-3,-1,-2,-3,0,-1,-1
1514955121567353,-3,1,0,-2,0,-2,0,0
1514955121583363,-1,0,-2,-4,-1,-2,-2,0
1514955121583363,0,-1,-1,-1,0,-2,-2,-1
1514955121584364,-3,-2,-1,-1,-2,1,-1,-2
1514955121584364,-4,-2,-1,-1,-2,-2,-2,0
1514955121606378,-3,-2,-1,-2,-1,0,2,1
1514955121606378,-1,0,-2,-1,-2,-1,-2,-2
1514955121607379,1,1,-2,-2,0,-2,-3,-1
1514955121607379,-2,-1,0,0,0,-2,1,0
1514955121619387,-1,-2,0,-2,0,0,0,-1
1514955121619387,-2,-2,-1,-1,-1,-1,0,-1
1514955121628393,-1,1,-1,0,-3,-1,0,-2
1514955121628393,1,-1,-3,-1,0,-1,-2,-1
1514955121643407,-1,-2,0,-1,0,-2,-2,1
1514955121643407,-1,-3,0,1,0,-1,0,-2
1514955121644405,-1,-1,0,0,-2,-1,0,0
1514955121644405,0,-1,-1,0,-1,0,0,-1
1514955121666424,-1,-1,-3,-3,-3,1,-2,-3
1514955121666424,-2,-2,0,-1,-2,-1,2,-1
1514955121667424,-1,-1,-1,-2,-1,-2,-3,-1
1514955121667424,-2,-1,-1,-1,-2,0,-2,0
1514955121688450,-2,0,0,0,-1,-1,-2,-1
1514955121688450,-3,-1,-1,-1,-2,0,-2,0
1514955121689437,-1,0,0,0,-1,-2,1,0
1514955121689437,-1,0,-2,-2,0,1,-3,0
1514955121703458,0,-1,-2,-2,-1,-1,-1,-3
1514955121703458,-3,-1,-1,-2,-2,0,-1,-1
1514955121704448,-3,-2,-1,-1,-1,-1,1,-4
1514955121704448,-1,-3,-1,-1,-3,-1,0,0
1514955121727478,0,1,0,2,-1,-3,-1,-1
1514955121727478,1,1,-2,-1,-1,0,-1,-3
1514955121728463,-3,-2,-1,-1,0,1,-1,-2
1514955121728463,-1,-2,-1,0,0,-3,0,-4
1514955121748492,-2,-2,-2,0,-1,-2,0,0
1514955121748492,-1,0,1,0,-1,-2,-1,0
1514955121749496,-1,-1,1,-1,-1,-1,0,-2
1514955121749496,3,-1,-1,-2,-3,1,1,1
1514955121763488,-1,-1,-1,-1,-1,1,1,-1
1514955121763488,-3,-3,0,-2,-1,-1,-2,-4
1514955121764494,-2,-3,-2,-1,-3,-2,1,0
1514955121764494,0,-1,-2,-1,-2,-1,-4,-4
1514955121786529,-1,0,-2,0,1,-1,0,-2
1514955121786529,1,0,-2,-2,-2,-2,-4,-2
1514955121786529,0,-1,-1,-3,1,-2,-3,-1
1514955121786529,-4,-1,-2,0,0,-2,-2,1
1514955121808547,-2,-2,0,0,-2,-1,1,0
1514955121808547,-3,1,-1,-1,-1,2,2,-1
1514955121809536,2,0,-2,-1,-1,-1,-4,0
1514955121809536,1,0,0,-2,0,0,-3,-2
1514955121823544,-3,-1,-1,-2,-3,-3,-1,-2
1514955121823544,0,-2,0,-1,0,-1,1,-2
1514955121831538,1,-1,-1,-1,-3,-1,1,-1
1514955121831538,-3,-3,-1,-1,0,-3,-1,-1
1514955121846550,3,-1,-2,-1,-1,0,-4,-2
1514955121846550,1,-1,-2,0,0,0,-3,-1
1514955121848564,-1,1,0,-1,-2,0,-2,0
1514955121848564,-2,1,-4,-2,-2,0,2,-2
1514955121868575,1,-2,1,0,-1,1,1,-1
1514955121868575,-2,-1,0,1,-3,-3,0,-2
1514955121870577,2,-2,0,-1,0,-1,-2,-3
1514955121870577,-3,-1,1,-2,-1,-1,-2,0
1514955121882586,-2,-1,-1,-2,-1,0,-1,-1
1514955121882586,0,-1,-2,-1,-2,-2,-2,0
1514955121891580,-1,-2,-1,0,0,-2,0,-2
1514955121891580,2,1,0,-1,-3,-1,-2,-2
1514955121906599,0,0,-1,-1,-1,-1,-2,-2
1514955121906599,-3,-3,-1,-1,1,-1,2,0
1514955121907591,-1,1,-1,-1,0,-1,-2,-1
